"group","lib.size","norm.factors","exposure","pop","trt"
"0002ARSC32351","1",20863671.0185148,1,"32","ARS","ARS.32"
"0004ARSC56351","1",19621640.5999563,1,"56","ARS","ARS.56"
"0010ARSC32352","1",22689768.5176481,1,"32","ARS","ARS.32"
"0012ARSC56352","1",19077114.9076244,1,"56","ARS","ARS.56"
"0018ARSC00351","1",16359626.4377017,1,"00","ARS","ARS.00"
"0020ARSC10351","1",7341944.52895884,1,"10","ARS","ARS.10"
"0053ARSC00352","1",23429459.0174396,1,"00","ARS","ARS.00"
"0054ARSC10352","1",21978253.7280323,1,"10","ARS","ARS.10"
"0077ARSC32353","1",21497549.0813487,1,"32","ARS","ARS.32"
"0078ARSC32354","1",20398835.019652,1,"32","ARS","ARS.32"
"0085ARSC56353","1",20761360.6857853,1,"56","ARS","ARS.56"
"0086ARSC56354","1",22538632.6592696,1,"56","ARS","ARS.56"
"0093ARSC00353","1",7263528.73802183,1,"00","ARS","ARS.00"
"0094ARSC00354","1",21094683.4362956,1,"00","ARS","ARS.00"
"0109ARSC10353","1",12543424.0694259,1,"10","ARS","ARS.10"
"0110ARSC10354","1",11597304.8358196,1,"10","ARS","ARS.10"
"0121ARSC32355","1",19034544.6624462,1,"32","ARS","ARS.32"
"0132ARSC56355","1",15187419.1542466,1,"56","ARS","ARS.56"
"0138ARSC00355","1",22482007.0220111,1,"00","ARS","ARS.00"
"0148ARSC10355","1",18455617.962491,1,"10","ARS","ARS.10"
"ARSC_32_35_6","1",17907344.7887828,1,"32","ARS","ARS.32"
"GBC_00_35_1","1",22103252.9949816,1,"00","GB","GB.00"
"GBC_00_35_2","1",18431081.3831345,1,"00","GB","GB.00"
"GBC_00_35_3","1",19338620.7241416,1,"00","GB","GB.00"
"GBC_00_35_4","1",15620813.7823199,1,"00","GB","GB.00"
"GBC_00_35_5","1",16678650.541773,1,"00","GB","GB.00"
"GBC_10_35_1","1",19051255.2149739,1,"10","GB","GB.10"
"GBC_10_35_2","1",18039017.2772547,1,"10","GB","GB.10"
"GBC_10_35_3","1",16841872.1716556,1,"10","GB","GB.10"
"GBC_10_35_4","1",19846391.2207712,1,"10","GB","GB.10"
"GBC_10_35_5","1",17434015.545825,1,"10","GB","GB.10"
"GBC_32_35_1","1",18303309.1253576,1,"32","GB","GB.32"
"GBC_32_35_2","1",16919850.5296311,1,"32","GB","GB.32"
"GBC_32_35_3","1",18693195.0361527,1,"32","GB","GB.32"
"GBC_32_35_4","1",20357645.1471671,1,"32","GB","GB.32"
"GBC_32_35_5","1",17153932.8319085,1,"32","GB","GB.32"
"GBC_56_35_1","1",17078917.4840255,1,"56","GB","GB.56"
"GBC_56_35_2","1",17374604.6432442,1,"56","GB","GB.56"
"GBC_56_35_3","1",15973865.854059,1,"56","GB","GB.56"
"GBC_56_35_4","1",16028465.4760461,1,"56","GB","GB.56"
"GBC_56_35_5","1",27354079.8170082,1,"56","GB","GB.56"
"GTC_00_35_1","1",16078592.447409,1,"00","GT","GT.00"
"GTC_00_35_2","1",21413550.4910768,1,"00","GT","GT.00"
"GTC_00_35_3","1",16975289.7689021,1,"00","GT","GT.00"
"GTC_00_35_4","1",16632342.906686,1,"00","GT","GT.00"
"GTC_00_35_5","1",18208597.0455299,1,"00","GT","GT.00"
"GTC_10_35_1","1",21823501.2401932,1,"10","GT","GT.10"
"GTC_10_35_2","1",18682308.8934384,1,"10","GT","GT.10"
"GTC_10_35_3","1",22694284.106188,1,"10","GT","GT.10"
"GTC_10_35_4","1",9023769.45909685,1,"10","GT","GT.10"
"GTC_10_35_5","1",20079696.2787311,1,"10","GT","GT.10"
"GTC_32_35_1","1",12454015.4366739,1,"32","GT","GT.32"
"GTC_32_35_2","1",16393000.6136503,1,"32","GT","GT.32"
"GTC_32_35_3","1",15775905.4672155,1,"32","GT","GT.32"
"GTC_32_35_4","1",17860488.8509045,1,"32","GT","GT.32"
"GTC_32_35_5","1",15856751.012303,1,"32","GT","GT.32"
"GTC_56_35_1","1",17403316.6570044,1,"56","GT","GT.56"
"GTC_56_35_2","1",17442503.5799733,1,"56","GT","GT.56"
"GTC_56_35_3","1",18290372.9747855,1,"56","GT","GT.56"
"GTC_56_35_4","1",15012184.0989479,1,"56","GT","GT.56"
"GTC_56_35_5","1",18503949.0873432,1,"56","GT","GT.56"
"VBC_00_35_1","1",15152551.8505221,1,"00","VB","VB.00"
"VBC_00_35_2","1",13601684.8903797,1,"00","VB","VB.00"
"VBC_00_35_3","1",17089559.2349845,1,"00","VB","VB.00"
"VBC_00_35_4","1",18135224.0205293,1,"00","VB","VB.00"
"VBC_00_35_5","1",16106748.5813953,1,"00","VB","VB.00"
"VBC_10_35_1","1",14122095.4232117,1,"10","VB","VB.10"
"VBC_10_35_2","1",24553624.2731978,1,"10","VB","VB.10"
"VBC_10_35_3","1",10933497.009466,1,"10","VB","VB.10"
"VBC_10_35_4","1",17498617.641327,1,"10","VB","VB.10"
"VBC_10_35_5","1",15647826.23294,1,"10","VB","VB.10"
"VBC_32_35_1","1",16195687.5819035,1,"32","VB","VB.32"
"VBC_32_35_3","1",19048978.472403,1,"32","VB","VB.32"
"VBC_32_35_4","1",15387484.3496233,1,"32","VB","VB.32"
"VBC_32_35_5","1",21475123.9713962,1,"32","VB","VB.32"
"VBC_56_35_1","1",17210954.9875092,1,"56","VB","VB.56"
"VBC_56_35_2","1",20173681.0368459,1,"56","VB","VB.56"
"VBC_56_35_3","1",16831294.5235184,1,"56","VB","VB.56"
"VBC_56_35_4","1",20284428.2680006,1,"56","VB","VB.56"
"VBC_56_35_5","1",18520224.6995764,1,"56","VB","VB.56"
